VILLAGE_ID	DUMMY_CHARA_ID	START_PERSON_MIN_NUM	PERSON_MAX_NUM	START_DATETIME	DAY_CHANGE_INTERVAL_SECONDS	IS_OPEN_VOTE	IS_POSSIBLE_SKILL_REQUEST	IS_AVAILABLE_SPECTATE	IS_AVAILABLE_SAME_WOLF_ATTACK	IS_OPEN_SKILL_IN_GRAVE	IS_VISIBLE_GRAVE_SPECTATE_MESSAGE	IS_AVAILABLE_SUDDONLY_DEATH	IS_AVAILABLE_COMMIT	IS_AVAILABLE_GUARD_SAME_TARGET	CHARACTER_GROUP_ID	JOIN_PASSWORD	ALLOWED_SECRET_SAY_CODE	ORGANIZE
1	1	8	17	2018-03-12 00:00:00.000	86400	1	1	0	1	0	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
2	1	8	17	2018-03-18 00:00:00.000	86400	1	1	0	1	0	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
3	1	5	17	2018-03-14 13:40:00.000	600	1	1	0	1	0	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
4	1	5	16	2018-03-14 22:45:00.000	86400	1	1	0	1	0	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
5	1	8	16	2018-03-23 00:00:00.000	86400	1	1	0	1	0	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
6	59	11	17	2018-04-02 00:00:00.000	86400	1	1	0	1	0	0	0	0	0	2		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
7	59	11	17	2018-04-02 00:00:00.000	86400	1	1	0	1	0	0	0	0	0	2		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
8	1	13	17	2018-03-30 00:00:00.000	86400	1	1	0	1	0	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
9	1	8	17	2018-04-12 00:00:00.000	86400	1	1	1	1	0	0	0	0	0	1	kudou	NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村共共
狼狼狼狂狐賢導狩村村村村村共共
狼狼狼狂狐賢導狩村村村村村村共共
狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
10	1	11	17	2018-05-01 00:00:00.000	86400	1	1	1	0	1	0	0	0	0	1		NOTHING	"狼狼賢導村村村村
狼狼賢導村村村村村
狼狼狂賢導狩村村村村
狼狼狂賢導狩村村村村村
狼狼狂賢導狩村村村村共共
狼狼狼狂賢導狩村村村村共共
狼狼狼魔狐賢導狩村霊霊霊共共
狼狼狼魔狐賢導狩村霊霊霊霊共共
狼狼狼魔狐賢導狩村霊霊霊霊霊共共
狼狼狼魔狐賢導狩村霊霊霊霊霊霊共共
狼狼狼狼狂狐賢導狩村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村共共
狼狼狼狼狂狐賢導狩村村村村村村村村村共共"
11	59	14	20	2018-05-26 00:00:00.000	86400	1	1	1	0	0	1	0	0	0	2	zipzip	NOTHING	"村狼狼賢導村村村
村狼狼賢導村村村村
村狼狼狂賢導村村村村
村狼狼狂賢導村村村村村
村狼狼狼狂賢導狩村村村村
村狼狼狼狂賢導狩村村村村村
村狼狼狼魔狐賢導狩霊霊霊霊霊
村狼狼狼魔狐賢導狩霊霊霊霊霊霊
村狼狼狼魔狐賢導狩霊霊霊霊霊共共
村狼狼狼魔狐賢導狩霊霊霊霊霊霊共共
村狼狼狼狼魔狐賢導狩霊霊霊霊霊霊共共
村狼狼狼狼魔狐賢導狩霊霊霊霊霊霊霊共共
村狼狼狼狼魔狐賢導狩霊霊霊霊霊霊霊霊共共"